"Board","mean_Failure_x_coord","Peak_load","Area","UTS_psi","UTS_ksi","MC","VibeE"
4,60.8,-16627,8.25,2015.393939,2.015393939,10.2,1.92
7,107.8,-10172,8.25,1232.969697,1.232969697,10.95,1.7
15,83.2,-27599,8.25,3345.333333,3.345333333,12.65,2.01
16,38,-14217,8.25,1723.272727,1.723272727,11.05,1.65
17,112.5,-23858,8.25,2891.878788,2.891878788,11.3,2.34
18,107.5,-11660,8.25,1413.333333,1.413333333,10.9,2.05
19,47.3,-14693,8.25,1780.969697,1.780969697,12,2.19
20,99.9,-19975,8.25,2421.212121,2.421212121,10.6,1.64
21,34.8,-27982,8.25,3391.757576,3.391757576,15,1.76
23,48.2,-8322,8.25,1008.727273,1.008727273,10.5,1.36
25,62.8,-22589,8.25,2738.060606,2.738060606,11.9,1.58
27,97.9,-31370,8.25,3802.424242,3.802424242,10.8,2.11
28,83.8,-21097,8.25,2557.212121,2.557212121,10.6,2.28
31,97.3,-15930,8.25,1930.909091,1.930909091,15,1.68
32,107.5,-16760,8.25,2031.515152,2.031515152,11.9,1.63
35,28.3,-40917,8.25,4959.636364,4.959636364,12.5,1.63
38,64.2,-24401,8.25,2957.69697,2.95769697,11.5,1.83
39,109.8,-11703,8.25,1418.545455,1.418545455,10.4,1.55
40,105.5,-6896,8.25,835.8787879,0.835878788,11.3,1.59
41,113.2,-17064,8.25,2068.363636,2.068363636,12.7,1.35
42,93.2,-10823,8.25,1311.878788,1.311878788,10.9,1.42
43,45.1,-24184,8.25,2931.393939,2.931393939,10.5,2.29
44,57.9,-10769,8.25,1305.333333,1.305333333,11.4,1.6
45,81.9,-8609,8.25,1043.515152,1.043515152,11.2,1.53
46,48.7,-13659,8.25,1655.636364,1.655636364,12.5,1.29
47,58.2,-7970,8.25,966.0606061,0.966060606,11.1,1.64
48,43.5,-17145,8.25,2078.181818,2.078181818,9.8,1.64
49,117.5,-27914,8.25,3383.515152,3.383515152,11.5,1.9
50,54.5,-47853,8.25,5800.363636,5.800363636,11.3,2.02
51,92.8,-33579,8.25,4070.181818,4.070181818,11.3,1.89
52,101.4,-19138,8.25,2319.757576,2.319757576,10.95,1.39
53,81,-14397,8.25,1745.090909,1.745090909,12.3,1.77
54,100.4,-17187,8.25,2083.272727,2.083272727,10.5,1.24
55,34.8,-41218,8.25,4996.121212,4.996121212,11,2.27
56,85,-28615,8.25,3468.484848,3.468484848,10.9,1.89
57,56.5,-19540,8.25,2368.484848,2.368484848,12.3,1.59
58,33.5,-13977,8.25,1694.181818,1.694181818,11.3,2.22
59,68.9,-14942,8.25,1811.151515,1.811151515,13.1,1.76
60,29.3,-18040,8.25,2186.666667,2.186666667,12.4,2.14
61,98.5,-27596,8.25,3344.969697,3.344969697,15,1.85
62,61.3,-17638,8.25,2137.939394,2.137939394,10.8,1.92
63,110.7,-9130,8.25,1106.666667,1.106666667,10.8,1.2
64,35.5,-15023,8.25,1820.969697,1.820969697,12.3,2.13
65,77,-15286,8.25,1852.848485,1.852848485,11.4,1.97
66,115.5,-17380,8.25,2106.666667,2.106666667,12.6,1.63
67,71.8,-24549,8.25,2975.636364,2.975636364,11.2,1.83
68,69.7,-21355,8.25,2588.484848,2.588484848,11.5,1.67
69,94.3,-34757,8.25,4212.969697,4.212969697,11.5,1.98
70,88.9,-11643,8.25,1411.272727,1.411272727,10.9,1.42
71,28.8,-20940,8.25,2538.181818,2.538181818,12.2,2.09
72,59.3,-19057,8.25,2309.939394,2.309939394,11.1,1.68
73,52.6,-40454,8.25,4903.515152,4.903515152,11.4,2.11
74,55.9,-16997,8.25,2060.242424,2.060242424,9.9,1.82
75,80.1,-25918,8.25,3141.575758,3.141575758,10.5,2.36
76,58.4,-18235,8.25,2210.30303,2.21030303,10.9,2.28
77,71.2,-16363,8.25,1983.393939,1.983393939,12,1.95
78,77.4,-12464,8.25,1510.787879,1.510787879,10.9,1.52
79,57.1,-11439,8.25,1386.545455,1.386545455,9.6,1.65
80,54.8,-15116,8.25,1832.242424,1.832242424,11.2,2.01
81,81.4,-16277,8.25,1972.969697,1.972969697,10.9,2.13
82,46.5,-18877,8.25,2288.121212,2.288121212,11.2,1.93
83,58.5,-9537,8.25,1156,1.156,12.4,1.86
84,89.1,-23561,8.25,2855.878788,2.855878788,10.6,1.85
85,29.8,-23300,8.25,2824.242424,2.824242424,10.2,2.35
86,65.7,-26271,8.25,3184.363636,3.184363636,11.3,1.46
87,87.8,-8092,8.25,980.8484848,0.980848485,10.5,1.62
88,58.8,-20303,8.25,2460.969697,2.460969697,11.8,2.11
89,88.4,-28829,8.25,3494.424242,3.494424242,10.8,2.36
90,74.9,-13779,8.25,1670.181818,1.670181818,11.9,2.01
91,98.9,-20839,8.25,2525.939394,2.525939394,10.7,1.53
92,75.5,-21180,8.25,2567.272727,2.567272727,11.9,1.64
93,36.9,-24033,8.25,2913.090909,2.913090909,11.8,1.62
94,73,-64315,8.25,7795.757576,7.795757576,10.6,2.28
95,83,-10416,8.25,1262.545455,1.262545455,11.2,1.77
96,78.7,-12584,8.25,1525.333333,1.525333333,11.8,1.94
97,80,-22758,8.25,2758.545455,2.758545455,10.6,1.92
98,87.1,-14754,8.25,1788.363636,1.788363636,12.3,1.52
99,99.9,-13233,8.25,1604,1.604,12.4,1.85
100,73.9,-25115,8.25,3044.242424,3.044242424,11.3,2.12
101,24.7,-27620,8.25,3347.878788,3.347878788,12.5,2.6
102,104.2,-29857,8.25,3619.030303,3.619030303,12.1,1.71
103,95.4,-12072,8.25,1463.272727,1.463272727,11.4,1.76
104,86.3,-23353,8.25,2830.666667,2.830666667,10.5,1.66
105,33.8,-20319,8.25,2462.909091,2.462909091,10.9,1.86
106,71.5,-16692,8.25,2023.272727,2.023272727,12.2,1.4
107,92.9,-20476,8.25,2481.939394,2.481939394,11.7,1.55
108,118,-48296,8.25,5854.060606,5.854060606,12,2.42
109,62.9,-21013,8.25,2547.030303,2.547030303,12.4,1.6
110,64.1,-22362,8.25,2710.545455,2.710545455,12.1,1.63
111,36,-31823,8.25,3857.333333,3.857333333,12.3,1.75
112,94,-40777,8.25,4942.666667,4.942666667,11.4,2.34
113,69.8,-52044,8.25,6308.363636,6.308363636,11.3,2.56
114,49.5,-29476,8.25,3572.848485,3.572848485,14.3,2.13
115,91.3,-20058,8.25,2431.272727,2.431272727,11.8,1.83
116,112,-30329,8.25,3676.242424,3.676242424,13.2,1.91
117,55.2,-20723,8.25,2511.878788,2.511878788,11.6,1.34
118,62.4,-23652,8.25,2866.909091,2.866909091,11.6,1.8
119,94.7,-20609,8.25,2498.060606,2.498060606,11.3,1.63
120,92.9,-28190,8.25,3416.969697,3.416969697,11.3,1.67
