"surface","x","y","var_x","var_y","cov","n","idx","z","boundary_axis_idx1","boundary_axis_idx2","yaxis","zaxis","area_over","matching"
2,35.47,4.47,0.4356,0.36,0,50,5,1.5,0,0,0,0,0,1
0,36.17,0.68,0.432796789,0.379320843,-0.00182099,50,1,0,0,0,0,0,0,1
2,46.61,3.86,0.852048723,0.740883129,0.005464619,50,6,1.5,0,0,0,0,0,2
0,47.4,1.45,0.6889,0.6561,0,50,2,0,0,0,0,0,0,2
2,65.72,3.16,1.0404,0.7569,0,50,7,1.5,0,0,0,0,0,3
0,66.46,2.25,0.991769619,0.833010146,0.022825987,50,3,0,0,0,0,0,0,3
1,86.69,5.5,0.971240835,2.612001508,-0.402377455,50,10,0.68,3,1,5.5,1.5,0.288227526,4
2,86.76,5.39,0.888414481,0.687851941,0.004013392,50,8,1.5,0,4,5.5,1.5,1.18373728,4
0,86.89,0.08,0.8464,0.3844,0,50,4,0,1,0,0,0,1.17109502,4
2,123.21,0.11,0.36,0.0441,0,50,9,1.5,3,0,0,1.5,0.315174518,5
3,123.34,0,0.218285436,0.424015508,0.015967645,50,12,1.36,0,2,0,1.5,0.257350329,5
